cycle_id,total_seed,size,weight,harvested,SR
18876,331920,83.0,1735.5,144046.5,43.39795733911786
18876,331920,100.0,118.0,11800.0,3.5550735116895638
22118,40000,110.0,200.0,22000.0,55.00000000000001
22118,40000,110.0,70.0,7700.0,19.25
24088,357570,72.48,934.38,67723.8624,18.940029197080293
24088,357570,155.0,3.46,536.3,0.1499846183963979
24088,357570,96.0,6.34,608.64,0.17021562211594932
24088,357570,58.17,1877.1,109190.90699999999,30.536931789579658
24088,357570,85.0,43.88,3729.8,1.043096456637861
24088,357570,75.0,64.54,4840.500000000001,1.3537209497441063
17743,168275,105.94,138.79,14703.4126,8.737728480166394
17743,168275,75.88,1299.47,98603.7836,58.59681093448225
17743,168275,75.88,58.28,4422.2864,2.628011528747586
17125,188000,93.0,130.0,12090.0,6.430851063829787
17125,188000,120.0,132.0,15840.0,8.425531914893616
28070,200128,89.24,417.16,37227.3584,18.601774064598654
28070,200128,162.0,0.52,84.24000000000001,0.04209306044131756
28070,200128,94.0,2.3,216.2,0.10803086024944034
28070,200128,64.52,398.44,25707.3488,12.845453309881675
28070,200128,50.15,1867.58,93659.13699999999,46.79961674528301
28070,200128,94.0,7.38,693.72,0.3466381515829869
26058,148007,60.0,267.39,16043.4,10.839622450289513
26058,148007,52.0,269.1,13993.2,9.454417696460302
26058,148007,41.0,476.65,19542.649999999998,13.203868735938162
26058,148007,34.0,592.6,20148.4,13.613139919057884
26058,148007,33.0,523.4,17272.2,11.669853452877229
26058,148007,33.0,889.06,29338.98,19.822697575114688
26058,148007,33.0,1418.2,46800.6,31.6205314613498
26058,148007,60.0,267.39,16043.4,10.839622450289513
26058,148007,52.0,269.1,13993.2,9.454417696460302
26058,148007,41.0,476.65,19542.649999999998,13.203868735938162
26058,148007,34.0,592.6,20148.4,13.613139919057884
26058,148007,33.0,523.4,17272.2,11.669853452877229
26058,148007,33.0,889.06,29338.98,19.822697575114688
26058,148007,33.0,1418.2,46800.6,31.6205314613498
24702,439635,60.0,1707.0,102420.0,23.296598314510902
24702,439635,60.0,5042.0,302520.0,68.81162782762974
24007,501054,118.0,150.0,17700.0,3.5325533774802715
24007,501054,120.0,2523.0,302760.0,60.424624890730335
24007,501054,111.0,1300.0,144300.0,28.799291094373064
25693,410121,27.0,3707.0,100089.0,24.4047488424148
25693,410121,21.0,2388.0,50148.0,12.227610875814698
25693,410121,19.0,3474.0,66006.0,16.094274616515612
9921,70000,220.0,72.5,15950.0,22.78571428571429
9921,70000,170.0,29.5,5015.0,7.164285714285715
12324,90000,285.0,156.9,44716.5,49.685
18732,436320,81.0,877.48,71075.88,16.289851485148514
18732,436320,62.2,869.55,54086.01,12.395950220022002
18732,436320,44.1,1117.15,49266.315,11.291326320132015
18732,436320,38.0,6513.34,247506.92,56.726008434176755
24480,40000,248.0,91.0,22568.0,56.42
